"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2111858,"September 9, 2021",Illinois,"East Saint Louis","510 Martin Luther King Dr",7,0,0,0,3,N/A
2112252,"September 9, 2021",Alabama,Montgomery,"1800 block of Cotton Court",3,1,0,0,0,N/A
2111895,"September 8, 2021",Missouri,"Saint Louis","4000 block of St Ferdinand Ave",4,0,0,0,0,N/A
2110346,"September 7, 2021",Delaware,Wilmington,"A St and New Castle Ave",4,0,0,0,0,N/A
2110077,"September 7, 2021",Kansas,Wichita,"351 N Mosley St",5,1,0,0,1,N/A
2109075,"September 6, 2021",Georgia,Atlanta,"868 Joseph E Boone Blvd NW",5,0,0,0,0,N/A
2108892,"September 5, 2021",Missouri,Independence,"116 W Lexington Ave",4,0,0,0,0,N/A
2108560,"September 5, 2021","New York",Bronx,"4848 White Plains Rd",4,0,0,0,0,N/A
2108414,"September 5, 2021",Texas,Houston,"7518 Imogene St",0,4,0,0,0,N/A
2108378,"September 5, 2021",Georgia,Athens,"E Clayton St and N Jackson St",6,0,0,0,1,N/A
2115336,"September 5, 2021",Missouri,Wyatt,N/A,4,0,0,0,2,N/A
2108302,"September 5, 2021",Florida,Lakeland,"N Socrum Loop Rd and Fulton Green Rd",1,4,1,0,1,N/A
2109384,"September 5, 2021",Ohio,Cincinnati,"6308 Corbly Rd",4,0,0,0,0,N/A
2107828,"September 4, 2021",Louisiana,Monroe,"1600 block of Winnsboro Rd",3,1,0,0,0,N/A
2107916,"September 4, 2021",Alabama,Birmingham,"9164 Parkway E",2,2,0,0,4,N/A
2108406,"September 4, 2021",Georgia,"Warner Robins","Mauldon Ct and Dunmurry Pl",4,1,0,0,2,N/A
2107875,"September 4, 2021",Pennsylvania,Pittsburgh,"7300 block of Hamilton Ave",4,0,0,0,1,N/A
2107476,"September 4, 2021",Illinois,Chicago,"1400 block of S Tripp Ave",5,0,0,0,0,N/A
2107930,"September 4, 2021","District of Columbia",Washington,"700 block of Longfellow St NW",3,3,0,0,3,N/A
2107621,"September 3, 2021",Texas,Austin,"9345 US-290",3,1,0,0,0,N/A
2107168,"September 3, 2021","New York",Syracuse,"Nelson St and W Marcellus St",4,0,0,0,0,N/A
2107467,"September 3, 2021",Louisiana,"New Iberia","927 S Lewis St",3,1,0,0,0,N/A
2107198,"September 2, 2021","New York","Niagara Falls","336 19th St",4,0,0,0,0,N/A
2104725,"August 31, 2021","North Carolina","Elm City","3500 block of London Church Rd",2,2,0,0,1,N/A
2104181,"August 30, 2021",Illinois,Normal,"2000 block of Lambert Dr",3,2,0,1,0,N/A
2103256,"August 29, 2021",Tennessee,Nashville,"2621 Jefferson St",5,0,0,0,1,N/A
2102991,"August 29, 2021",Nevada,"Las Vegas","1750 S Rainbow Blvd",3,1,0,0,3,N/A
2103311,"August 29, 2021",Wisconsin,Milwaukee,"N 41st St and W Lloyd St",4,0,0,0,0,N/A
2103132,"August 28, 2021","New York",Albany,"Sherman St and Henry Johnson Blvd",5,0,0,0,0,N/A
2103035,"August 28, 2021",California,"San Diego","3100 block of Mission Blvd",4,0,0,0,0,N/A
2102694,"August 28, 2021",Illinois,Chicago,"2800 block of W 12th Pl",4,0,0,0,0,N/A
2102082,"August 27, 2021",Pennsylvania,"Sharon Hill","300 Calcon Hook Rd",4,1,0,0,5,N/A
2101199,"August 27, 2021",California,"Los Angeles","8400 block of Fountain Ave",4,0,0,0,0,N/A
2101774,"August 27, 2021","West Virginia",Huntington,"300 block of Oney Ave",2,2,0,0,1,N/A
2100578,"August 26, 2021",Minnesota,Minneapolis,"3006 Lyndale Ave",7,0,0,0,0,N/A
2098246,"August 23, 2021",Illinois,Chicago,"W Wilson Ave and N Sheridan Rd",4,0,0,0,0,N/A
2097075,"August 22, 2021",Illinois,Chicago,"3400 block of W Lake St",4,1,0,0,0,N/A
2098321,"August 22, 2021",Oregon,Portland,"322 NW Everett St",5,0,0,0,0,N/A
2097481,"August 22, 2021",Illinois,Carbondale,"501 W Cherry St",3,1,0,0,0,N/A
2097494,"August 22, 2021",Colorado,Denver,"19th St and Blake St",5,1,0,0,0,N/A
2097271,"August 22, 2021",Michigan,"Grand Rapids","1500 block of Linden Ave SE",3,1,0,0,0,N/A
2096687,"August 21, 2021",Illinois,Chicago,"3500 block of W Walnut St",4,0,0,0,0,N/A
2097063,"August 21, 2021",Illinois,Chicago,"1600 block of E 87th Pl",5,1,0,0,0,N/A
2095800,"August 20, 2021",Michigan,Flint,"2905 Saginaw St",3,1,0,0,0,N/A
2095116,"August 19, 2021",Illinois,Chicago,"300 block of E 47th St",4,0,0,0,0,N/A
2095394,"August 19, 2021",Maryland,Edgewood,"1700 block of Crimson Tree Way",3,1,0,0,0,N/A
2095087,"August 19, 2021",Pennsylvania,Philadelphia,"5100 block of Germantown Ave",4,1,0,0,0,N/A
2094421,"August 18, 2021",Maryland,Germantown,"19575 Scenery Dr",3,1,0,0,1,N/A
2094457,"August 18, 2021","North Carolina",Durham,"Ridgeway Ave and Wabash St",3,1,0,0,0,N/A
2094071,"August 18, 2021",Ohio,Youngstown,"619 Samuel Ave",4,2,0,0,0,N/A
2094035,"August 18, 2021",California,"Los Angeles","W Jefferson Blvd and Culver Blvd",4,0,0,0,1,N/A
2093581,"August 17, 2021","New York",Brooklyn,"422 Mother Gaston Blvd",5,0,0,0,0,N/A
2092469,"August 16, 2021","New York",Brooklyn,"927 DeKalb Ave",8,0,0,0,0,N/A
2092227,"August 16, 2021",Michigan,Detroit,"4421 Central Ave",3,1,0,0,0,N/A
2091597,"August 15, 2021",Texas,"San Antonio","1621 S New Braunfels Ave",2,3,0,0,2,N/A
2091489,"August 15, 2021",Illinois,Chicago,"1300 block of E 75th St",4,0,0,0,0,N/A
2091531,"August 14, 2021",Indiana,Indianapolis,"Wheeler St and E 28th St",3,1,0,0,0,N/A
2090949,"August 14, 2021","New York",Brooklyn,"Lexington Ave and Marcy Ave",4,0,0,0,0,N/A
2090971,"August 14, 2021",Ohio,Akron,"271 Maiden Ln",5,0,0,0,0,N/A
2090777,"August 14, 2021",Indiana,Indianapolis,"Lafayette Rd and W 38th St",4,1,0,0,0,N/A
2090924,"August 14, 2021","New Jersey",Trenton,"875 New Willow St",4,0,0,0,0,N/A
2092110,"August 14, 2021",Texas,"Wichita Falls","2406 Sheppard Access Rd",4,0,0,0,0,N/A
